symbol	entrezID
MMP2	4313
GSR	2936
COL3A1	1281
CD163	9332
HMOX1	3162
SLC6A4	6532
ALOX5	240
MAPK1	5594
COL1A1	1277
PLAT	5327
DPP4	1803
HSPA5	3309
BCL2L1	598
CA2	760
PPARG	5468
CXCL11	6373
CDK2	1017
SELE	6401
RUNX2	860
THBD	7056
CXCL10	3627
CYP19A1	1588
MAPK14	1432
PLA2G4A	5321
CAT	847
MPO	4353
CHUK	1147
SLPI	6590
IGFBP3	3486
ALB	213
F3	2152
VEGFA	7422
MYC	4609
MMP1	4312
TP63	8626
MMP9	4318
